,latitude,longitude,timestamp,value,measurement,retrieved_at
54,51.5,4.9,2025-07-20T04:00:00Z,17.8,t_2m:C,2025-07-21T20:03:02Z
55,51.5,4.9,2025-07-20T05:00:00Z,18.2,t_2m:C,2025-07-21T20:03:02Z
56,51.5,4.9,2025-07-20T06:00:00Z,19.0,t_2m:C,2025-07-21T20:03:02Z
57,51.5,4.9,2025-07-20T07:00:00Z,19.3,t_2m:C,2025-07-21T20:03:02Z
58,51.5,4.9,2025-07-20T08:00:00Z,21.7,t_2m:C,2025-07-21T20:03:02Z
59,51.5,4.9,2025-07-20T09:00:00Z,23.0,t_2m:C,2025-07-21T20:03:02Z
60,51.5,4.9,2025-07-20T10:00:00Z,24.6,t_2m:C,2025-07-21T20:03:02Z
61,51.5,4.9,2025-07-20T11:00:00Z,25.9,t_2m:C,2025-07-21T20:03:02Z
62,51.5,4.9,2025-07-20T12:00:00Z,26.3,t_2m:C,2025-07-21T20:03:02Z
63,51.5,4.9,2025-07-20T13:00:00Z,21.8,t_2m:C,2025-07-21T20:03:02Z
64,51.5,4.9,2025-07-20T14:00:00Z,21.3,t_2m:C,2025-07-21T20:03:02Z
65,51.5,4.9,2025-07-20T15:00:00Z,18.9,t_2m:C,2025-07-21T20:03:02Z
66,51.5,4.9,2025-07-20T16:00:00Z,20.1,t_2m:C,2025-07-21T20:03:02Z
67,51.5,4.9,2025-07-20T17:00:00Z,20.9,t_2m:C,2025-07-21T20:03:02Z
68,51.5,4.9,2025-07-20T18:00:00Z,20.9,t_2m:C,2025-07-21T20:03:02Z
69,51.5,4.9,2025-07-20T19:00:00Z,19.9,t_2m:C,2025-07-21T20:03:02Z
70,51.5,4.9,2025-07-20T20:00:00Z,18.5,t_2m:C,2025-07-21T20:03:02Z
71,51.5,4.9,2025-07-20T21:00:00Z,18.3,t_2m:C,2025-07-21T20:03:02Z
72,51.5,4.9,2025-07-20T22:00:00Z,17.4,t_2m:C,2025-07-21T20:03:02Z
73,51.5,4.9,2025-07-20T23:00:00Z,16.7,t_2m:C,2025-07-21T20:03:02Z
74,51.5,4.9,2025-07-21T00:00:00Z,16.4,t_2m:C,2025-07-21T20:03:02Z
75,51.5,5.1,2025-07-20T00:00:00Z,19.9,t_2m:C,2025-07-21T20:03:02Z
76,51.5,5.1,2025-07-20T01:00:00Z,18.9,t_2m:C,2025-07-21T20:03:02Z
77,51.5,5.1,2025-07-20T02:00:00Z,18.3,t_2m:C,2025-07-21T20:03:02Z
78,51.5,5.1,2025-07-20T03:00:00Z,18.0,t_2m:C,2025-07-21T20:03:02Z
79,51.5,5.1,2025-07-20T04:00:00Z,18.0,t_2m:C,2025-07-21T20:03:02Z
80,51.5,5.1,2025-07-20T05:00:00Z,18.3,t_2m:C,2025-07-21T20:03:02Z
81,51.5,5.1,2025-07-20T06:00:00Z,18.9,t_2m:C,2025-07-21T20:03:02Z
82,51.5,5.1,2025-07-20T07:00:00Z,19.1,t_2m:C,2025-07-21T20:03:02Z
83,51.5,5.1,2025-07-20T08:00:00Z,21.7,t_2m:C,2025-07-21T20:03:02Z
84,51.5,5.1,2025-07-20T09:00:00Z,23.5,t_2m:C,2025-07-21T20:03:02Z
85,51.5,5.1,2025-07-20T10:00:00Z,25.1,t_2m:C,2025-07-21T20:03:02Z
86,51.5,5.1,2025-07-20T11:00:00Z,26.5,t_2m:C,2025-07-21T20:03:02Z
87,51.5,5.1,2025-07-20T12:00:00Z,26.9,t_2m:C,2025-07-21T20:03:02Z
88,51.5,5.1,2025-07-20T13:00:00Z,23.1,t_2m:C,2025-07-21T20:03:02Z
89,51.5,5.1,2025-07-20T14:00:00Z,22.6,t_2m:C,2025-07-21T20:03:02Z
90,51.5,5.1,2025-07-20T15:00:00Z,19.5,t_2m:C,2025-07-21T20:03:02Z
91,51.5,5.1,2025-07-20T16:00:00Z,19.7,t_2m:C,2025-07-21T20:03:02Z
92,51.5,5.1,2025-07-20T17:00:00Z,20.8,t_2m:C,2025-07-21T20:03:02Z
93,51.5,5.1,2025-07-20T18:00:00Z,20.8,t_2m:C,2025-07-21T20:03:02Z
94,51.5,5.1,2025-07-20T19:00:00Z,20.0,t_2m:C,2025-07-21T20:03:02Z
